file_name,uni,wylie,url,dept,grade,char_len,audio_len,path,inf
STT_MV0693_0024_184830_to_192825,ཨེ་ཧི། ད་ཡིན་ན་འགྲིགས་སོང་། ཐོག་མའི་ཚོད་དཔག་ལས་བརྒལ་མ་སོང་། ད་འགུལ་སྐྱོད་ཐེར་ཀ་ཡོད་ན་ད་ག་ཡིན།  ,e hi/_da yin na 'grigs song /_thog ma'i tshod dpag las brgal ma song /_da 'gul skyod ther ka yod na da ga yin/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_MV0693_0024_184830_to_192825.wav,STT_MV,3,95,7.995,wav16k/STT_MV0693_0024_184830_to_192825.wav,ཧད་ཡིན་ན་འགྲིག་སོང་། ཐོག་མའི་ཚོད་དཔག་ལས་བརྒལ་མ་སོང་། ད་འགུལ་སྐྱོད་ཁེར་གི་ཉོས་ན་ད་ག་ཡིན། ཧཧཡ
STT_MV0693_0025_192825_to_194520,སྲས་མོ་སྐུ་ཤོག་ཁྱེད་རང་ཐད་ཀར་གསུངས་ད ,sras mo sku shog khyed rang thad kar gsungs da_,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_MV0693_0025_192825_to_194520.wav,STT_MV,3,37,1.695,wav16k/STT_MV0693_0025_192825_to_194520.wav,སྲས་མོ་སྐུ་ཤོགས་ཁྱེད་རང་ཐད་ཀར་གསུངས་ད།
STT_MV0693_0027_204219_to_206709,ཁྱེད་རང་གིས་གསུང་ཡ་དེ་ཚོ་གྲན་ཚང་གི་ཞིམ་ཟས་མ་རེད་པེ ,khyed rang gis gsung ya de tsho gran tshang gi zhim zas ma red pe_,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_MV0693_0027_204219_to_206709.wav,STT_MV,3,51,2.49,wav16k/STT_MV0693_0027_204219_to_206709.wav,ཁྱེད་རང་གིས་གསུང་ཡ་དེ་ཚོ་གྲན་ཚང་གི་ཞིམ་ཟས་མ་རེད་པེ།
STT_PC0157_0242_1599735_to_1607551,དེའི་བར་གི་འབྲེལ་བ། བོད་ཀྱི་གསོ་བ་རིག་པའི་འབྲེལ་བ། དེ་ད་ལྟ་བར་དུ་ང་ཚོས་དོ་སྣང་ཁྱོན་ནས་མ་བྱས་པའི་གནས་ཚུལ་ཟེ་ཆགས་ཀི་འདུག་བ། དེ་ལྟ་བུའི་ཡིག་ཆ་བལྟ་ཐུབ་ཀི་མི་འདུག་བ།  ,de'i bar gi 'brel ba/_bod kyi gso ba rig pa'i 'brel ba/_de da lta bar du nga tshos do snang khyon nas ma byas pa'i gnas tshul ze chags ki 'dug ba/_de lta bu'i yig cha blta thub ki mi 'dug ba/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_PC0157_0242_1599735_to_1607551.wav,STT_PC,3,162,7.816,wav16k/STT_PC0157_0242_1599735_to_1607551.wav,དེའི་བར་གི་འབྲེལ་བ་བོད་ཀི་གསོ་བ་རིག་པའི་འབྲེལ་བ། དེ་ད་ལྟ་བར་དུ་ང་ཚོ་དོ་སྣང་ཁྱོན་ནས་མ་བྱས་པའ་གི་གནས་ཚུལ་ཅིག་ཆགས་ཀི་འདུག་བ། དེ་ལྟ་བུའི་ཡིག་ཆ་ལྟ་ཐུབ་ཀི་མི་འདུག་བ།
STT_MV0693_0032_231128_to_240817,མགྱོགས་ཤོས་ལ་ཉི་མ་གཉིས་གསུམ་འགོར་གི་རེད། འདུག་སེ་གྱིས། ཚར་སོང་ན་ངས་རང་ལ་ཁ་པར་བརྒྱབ་ཆོག ཐུགས་ཆེ་གནང་། འོ་རེད། སྒོར་མོ་སྟོང་ཕྲག་གཅིག་འདི་རྒྱུ་རྟེན་ཡིན།  ,mgyogs shos la nyi ma gnyis gsum 'gor gi red/_'dug se gyis/_tshar song na ngas rang la kha par brgyab chog_thugs che gnang /_'o red/_sgor mo stong phrag gcig 'di rgyu rten yin/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_MV0693_0032_231128_to_240817.wav,STT_MV,3,151,9.689,wav16k/STT_MV0693_0032_231128_to_240817.wav,མགྱོགས་ཤོས་ལ་ཉིན་མ་གཉིས་གསུམ་འགོར་གི་རེད། འདུག་སེ་གྱིས། ཚར་སོང་ན་ངས་རང་ལ་ཁ་པར་བརྒྱབ་ཆོག ཐུགས་རཆེ་གནང་། འོ་རེད། སྒོར་མོ་སྟོང་ཕྲག་གཅིག་གི་རྒྱུ་རྟེན་ཡིན།
STT_MV0693_0033_240817_to_243105,ལེ་སེ ,le se_,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_MV0693_0033_240817_to_243105.wav,STT_MV,3,6,2.288,wav16k/STT_MV0693_0033_240817_to_243105.wav,ལ་སོ་
STT_MV0765_0159_1108796_to_1114106,ངས་ནི་རང་གིས་ཁག་ཁག་ལ་ཉར་ཚགས་བྱས་པའི་དངུལ་ག་འདྲ་སེ་བཏོན་དགོས་ཡོད་ན་བསམས་སོང་། ད་ཡིན་ན་འགྲིག་སོང་།  ,ngas ni rang gis khag khag la nyar tshags byas pa'i dngul ga 'dra se bton dgos yod na bsams song /_da yin na 'grig song /__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_MV0765_0159_1108796_to_1114106.wav,STT_MV,3,98,5.31,wav16k/STT_MV0765_0159_1108796_to_1114106.wav,ངས་ནི་རང་ཁ་ཁ་ལ་ཉར་ཚགས་བྱས་པའི་དངུལ་ག་འདྲས་སེ་བཏོན་དགོས་ཡོད་ན་བསམ་བསོང་། ད་ཡིན་ན་འགྲིག་སོང་། ཧ་ཧ་ཧ་ཧ།
STT_MV0168_0013_233907_to_235325,ལག་བསྟར་གྱིས།  ,lag bstar gyis/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_MV0168_0013_233907_to_235325.wav,STT_MV,3,15,1.418,wav16k/STT_MV0168_0013_233907_to_235325.wav,ལག་བསྟར་གྱིས།
STT_PC0157_0245_1613967_to_1616902,སྨྱུ་གུའི་ཟོལ་ཅིག དེ་ལྟོས་དང་ཨེ་ནས་ཁོས་བསྒྱུར་ཡོང་གི་འདུག་བ།  ,smyu gu'i zol cig_de ltos dang e nas khos bsgyur yong gi 'dug ba/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_PC0157_0245_1613967_to_1616902.wav,STT_PC,3,62,2.935,wav16k/STT_PC0157_0245_1613967_to_1616902.wav,སྨྱུ་གུའི་ཟོལ་ར་ཅིག དེ་ལྟོས་དང། ཨེ་ནས་ཁོ་སྒྱོར་ཡོང་གི་འདུག་བ།
STT_MV0765_0161_1132612_to_1139538,ལྕམ་སྐུ་ཤོགས། ཞེད་སྣང་སྐུལ་མ་གནང་དང་། ཡར་བཞེངས་དང་། ག་རེ་བྱས་སོང་། ལྕམ་སྐུ་ཤོགས། ང་ཡར་ཡོང་དུས་ཁོང་དྲན་པ་ཐོར་བྱས་བཞུགས་ཤག ,lcam sku shogs/_zhed snang skul ma gnang dang /_yar bzhengs dang /_ga re byas song /_lcam sku shogs/_nga yar yong dus khong dran pa thor byas bzhugs shag_,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_MV0765_0161_1132612_to_1139538.wav,STT_MV,3,121,6.926,wav16k/STT_MV0765_0161_1132612_to_1139538.wav,ལྕམ་སྐུ་ཤོགས། ཞེད་སྣང་སྐུལ་མ་གནང་ད།  ཡག་བཞེང་་ྱོས་ད། ། ལྕམ་སྐུ་ཤོགས། ང་ཡར་ཡོང་དུས་ ཁོང་དྲན་པ་འཐོར་བྱས་བཞུགས་ཤག
